quota_definition_sid,order_number,geographical_areas,description,headings,commodities,quota_unit,monetary_unit,validity,suspension_periods,blocking_periods,status,last_allocation_date,initial_volume,balance,fill_rate
20823,50039,['ERGA OMNES'],,"['0805 – Citrus fruit, fresh or dried']",['0805501000'],Kilogram (kg),,"[2021-01-15,2021-06-15)",[],[],Closed,,1844000,1844000,0.00E+00
20824,50040,['ERGA OMNES'],,"['0809 – Apricots, cherries, peaches (including nectarines), plums and sloes, fresh']",['0809290000'],Kilogram (kg),,"[2021-05-21,2021-07-16)",[],[],Closed,,695000,695000,0.00E+00
21752,50040,['ERGA OMNES'],,"['0809 – Apricots, cherries, peaches (including nectarines), plums and sloes, fresh']",['0809290000'],Kilogram (kg),,"[2022-05-21,2022-07-16)",[],[],Open,,649000,695000,-0.070878274
20825,50041,['ERGA OMNES'],,"['0802 – Other nuts, fresh or dried, whether or not shelled or peeled']","['0802119000', '0802129000']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,06/07/2021,4042000,4025035.645,0.00419702
21753,50041,['ERGA OMNES'],,"['0802 – Other nuts, fresh or dried, whether or not shelled or peeled']","['0802119000', '0802129000']",Kilogram (kg),,"[2022-01-01,2023-01-01)",[],[],Open,06/07/2021,3777000,4025035.645,-0.065670015
20826,50043,['ERGA OMNES'],,"['1104 – Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading|1006; germ of cereals, whole, rolled, flaked or ground']",['1104229500'],Kilogram (kg),,"[2021-07-01,2022-07-01)",[],[],Open,,9769000,9769000,0.00E+00
20827,50043,['ERGA OMNES'],,"['1104 – Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading|1006; germ of cereals, whole, rolled, flaked or ground']",['1104229500'],Kilogram (kg),,"[2021-01-01,2021-07-01)",[],[],Closed,25/05/2021,9729205,9709169,0.002059367
20828,50046,['ERGA OMNES'],,"['1605 – Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved']",['1605400030'],Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,,35000,35000,0.00E+00
20829,50047,['ERGA OMNES'],,"['1605 – Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved']","['1605211040', '1605219040', '1605290040']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Exhausted,17/09/2021,26000,0,1
21754,50047,['ERGA OMNES'],,"['1605 – Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved']","['1605211040', '1605219040', '1605290040']",Kilogram (kg),,"[2022-01-01,2023-01-01)",[],[],Exhausted,17/09/2021,0,0,
20830,50053,['ERGA OMNES'],,"['1704 – Sugar confectionery (including white chocolate), not containing cocoa']",['1704000000'],Kilogram (kg),,"[2021-07-01,2022-07-01)",[],[],Open,,44000,44000,0.00E+00
20831,50053,['ERGA OMNES'],,"['1704 – Sugar confectionery (including white chocolate), not containing cocoa']",['1704000000'],Kilogram (kg),,"[2021-01-01,2021-07-01)",[],[],Exhausted,28/01/2021,0,0,
20832,50055,['ERGA OMNES'],,"['0701 – Potatoes, fresh or chilled']",['0701905000'],Kilogram (kg),,"[2021-01-01,2021-05-16)",[],[],Closed,,3000,3000,0.00E+00
21755,50055,['ERGA OMNES'],,"['0701 – Potatoes, fresh or chilled']",['0701905000'],Kilogram (kg),,"[2022-01-01,2022-05-16)",[],[],Open,,0,3000,
20833,50056,['ERGA OMNES'],,"['0706 – Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh or chilled']",['0706100000'],Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Exhausted,22/07/2021,52000,0,1
21756,50056,['ERGA OMNES'],,"['0706 – Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh or chilled']",['0706100000'],Kilogram (kg),,"[2022-01-01,2023-01-01)",[],[],Exhausted,22/07/2021,0,0,
20834,50058,['ERGA OMNES'],,"['0809 – Apricots, cherries, peaches (including nectarines), plums and sloes, fresh']",['0809100000'],Kilogram (kg),,"[2021-08-01,2022-06-01)",[],[],Open,,426000,426000,0.00E+00
20835,50058,['ERGA OMNES'],,"['0809 – Apricots, cherries, peaches (including nectarines), plums and sloes, fresh']",['0809100000'],Kilogram (kg),,"[2021-01-01,2021-06-01)",[],[],Closed,,426000,426000,0.00E+00
20836,50059,['ERGA OMNES'],,"['0707 – Cucumbers and gherkins, fresh or chilled']",['0707000500'],Kilogram (kg),,"[2021-11-01,2022-05-16)",[],[],Critical,06/04/2021,487000,346672,0.288147844
20837,50059,['ERGA OMNES'],,"['0707 – Cucumbers and gherkins, fresh or chilled']",['0707000500'],Kilogram (kg),,"[2021-01-01,2021-05-16)",[],[],Closed,06/04/2021,634000,346672,0.453198738
20838,50060,['ERGA OMNES'],,"['0806 – Grapes, fresh or dried']",['0806101090'],Kilogram (kg),,"[2021-07-21,2021-11-01)",[],[],Open,,615000,615000,0.00E+00
20839,50061,['ERGA OMNES'],,"['0808 – Apples, pears and quinces, fresh']",['0808108000'],Kilogram (kg),,"[2021-04-01,2021-08-01)",[],[],Closed,,30000,30000,0.00E+00
20840,50062,['ERGA OMNES'],,"['0808 – Apples, pears and quinces, fresh']",['0808309000'],Kilogram (kg),,"[2021-08-01,2022-01-01)",[],[],Critical,21/09/2021,190000,170303.5,0.103665789
20841,50063,['ERGA OMNES'],,"['0809 – Apricots, cherries, peaches (including nectarines), plums and sloes, fresh']",['0809100000'],Kilogram (kg),,"[2021-06-01,2021-08-01)",[],[],Closed,,1113000,1113000,0.00E+00
20842,50067,['ERGA OMNES'],,"['2009 – Fruit juices (including grape must) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter']","['2009619010', '2009691111', '2009691119', '2009691910', '2009695110', '2009699020']",Kilogram (kg),,"[2021-09-01,2022-09-01)",[],[],Open,30/06/2021,11504000,11504000,0.00E+00
20843,50067,['ERGA OMNES'],,"['2009 – Fruit juices (including grape must) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter']","['2009619010', '2009691111', '2009691119', '2009691910', '2009695110', '2009699020']",Kilogram (kg),,"[2021-01-01,2021-09-01)",[],[],Closed,,14029000,14029000,0.00E+00
20844,50070,['ERGA OMNES'],,['2309 – Preparations of a kind used in animal feeding'],"['2309903100', '2309904100', '2309905100', '2309909600']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Exhausted,15/01/2021,30000,0,1
21757,50070,['ERGA OMNES'],,['2309 – Preparations of a kind used in animal feeding'],"['2309903100', '2309904100', '2309905100', '2309909600']",Kilogram (kg),,"[2022-01-01,2023-01-01)",[],[],Exhausted,15/01/2021,0,0,
20845,50071,['ERGA OMNES'],,"['1008 – Buckwheat, millet and canary seed; other cereals']","['1008210000', '1008290000']",Kilogram (kg),,"[2021-07-01,2022-07-01)",[],[],Open,01/09/2021,412000,389239.75,0.055243325
20846,50071,['ERGA OMNES'],,"['1008 – Buckwheat, millet and canary seed; other cereals']","['1008210000', '1008290000']",Kilogram (kg),,"[2021-01-01,2021-07-01)",[],[],Exhausted,15/04/2021,348000,0,1
20847,50072,['ERGA OMNES'],,"['2302 – Bran, sharps and other residues, whether or not in the form of pellets, derived from the sifting, milling or other working of cereals or of leguminous plants']","['2302301000', '2302309000', '2302401000', '2302409000']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,,16932000,16932000,0.00E+00
20848,50073,['ERGA OMNES'],,['2309 – Preparations of a kind used in animal feeding'],"['2309903100', '2309904100', '2309905100']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Exhausted,30/03/2021,54000,0,1
21758,50073,['ERGA OMNES'],,['2309 – Preparations of a kind used in animal feeding'],"['2309903100', '2309904100', '2309905100']",Kilogram (kg),,"[2022-01-01,2023-01-01)",[],[],Exhausted,30/03/2021,0,0,
20849,50076,['ERGA OMNES'],,['1003 – Barley'],['1003900020'],Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,,30101000,30101000,0.00E+00
20850,50083,['ERGA OMNES'],,['1006 – Rice'],['1006100000'],Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,,2000,2000,0.00E+00
21759,50083,['ERGA OMNES'],,['1006 – Rice'],['1006100000'],Kilogram (kg),,"[2022-01-01,2023-01-01)",[],[],Open,,0,2000,
20851,50085,['ERGA OMNES'],,['1806 – Chocolate and other food preparations containing cocoa'],['1806000000'],Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,10/09/2021,26000,24583.02,0.054499231
20852,50086,['ERGA OMNES'],,"['1902 – Pasta, whether or not cooked or stuffed (with meat or other substances) or otherwise prepared, such as spaghetti, macaroni, noodles, lasagne, gnocchi, ravioli, cannelloni; couscous, whether or not prepared']","['1902110000', '1902190000', '1902209100', '1902209900', '1902300000', '1902400000']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Exhausted,06/04/2021,35000,0,1
20853,50088,['ERGA OMNES'],,['2106 – Food preparations not elsewhere specified or included'],['2106909800'],Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Critical,23/08/2021,219000,190060,0.132146119
21760,50088,['ERGA OMNES'],,['2106 – Food preparations not elsewhere specified or included'],['2106909800'],Kilogram (kg),,"[2022-01-01,2023-01-01)",[],[],Open,23/08/2021,138000,190060,-0.377246377
20854,50089,['ERGA OMNES'],,['2309 – Preparations of a kind used in animal feeding'],"['2309101300', '2309101500', '2309101900', '2309103300', '2309103900', '2309105100', '2309105300', '2309105900', '2309107000']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Critical,04/08/2021,665000,458104.114,0.311121633
21761,50089,['ERGA OMNES'],,['2309 – Preparations of a kind used in animal feeding'],"['2309101300', '2309101500', '2309101900', '2309103300', '2309103900', '2309105100', '2309105300', '2309105900', '2309107000']",Kilogram (kg),,"[2022-01-01,2023-01-01)",[],[],Open,04/08/2021,326000,458104.114,-0.405227344
20855,50092,['ERGA OMNES'],,"['2008 – Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included']","['2008201100', '2008201900', '2008203100', '2008203900', '2008207100', '2008301100', '2008301900', '2008303100', '2008303900', '2008307900', '2008401100', '2008401900', '2008402100', '2008402900', '2008403100', '2008403900', '2008501100', '2008501900', '2008503100', '2008503900', '2008505100', '2008505900', '2008507100', '2008601100', '2008601900', '2008603100', '2008603900', '2008606000', '2008701100', '2008701900', '2008703100', '2008703900', '2008705100', '2008705900', '2008801100', '2008801900', '2008803100', '2008803900', '2008807000']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Exhausted,20/05/2021,18000,0,1
20856,50093,['ERGA OMNES'],,"['2009 – Fruit juices (including grape must) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter']","['2009111100', '2009111900', '2009191100', '2009191900', '2009291100', '2009291900', '2009391100', '2009391900', '2009491100', '2009491900', '2009791100', '2009791900', '2009811100', '2009811900', '2009891100', '2009891900', '2009893400', '2009893500', '2009893600', '2009893800', '2009901100', '2009901900', '2009902100', '2009902900']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,10/08/2021,608000,607400,0.000986842
20857,50094,['ERGA OMNES'],,"['0702 – Tomatoes, fresh or chilled']",['0702000000'],Kilogram (kg),,"[2021-05-15,2021-11-01)",[],[],Open,26/07/2021,8000,7700,0.0375
21762,50094,['ERGA OMNES'],,"['0702 – Tomatoes, fresh or chilled']",['0702000000'],Kilogram (kg),,"[2022-05-15,2022-11-01)",[],[],Open,26/07/2021,0,7700,
20858,50095,['ERGA OMNES'],,"['2204 – Wine of fresh grapes, including fortified wines; grape must other than that of heading\xa02009']","['2204229310', '2204229411', '2204229461', '2204229510', '2204229611', '2204229661', '2204229710', '2204229811', '2204229861', '2204299310', '2204299411', '2204299461', '2204299510', '2204299611', '2204299661', '2204299710', '2204299811', '2204299861']",Hectolitre (hl),,"[2021-01-01,2022-01-01)",[],[],Critical,09/09/2021,4353,2404.6,0.447599357
20859,50096,['United States'],,['2106 – Food preparations not elsewhere specified or included'],['2106909800'],Kilogram (kg),,"[2021-07-01,2022-07-01)",[],[],Critical,21/09/2021,264000,176942.399,0.32976364
20860,50096,['United States'],,['2106 – Food preparations not elsewhere specified or included'],['2106909800'],Kilogram (kg),,"[2021-01-01,2021-07-01)",[],[],Closed,29/06/2021,583326,231099.134,0.603825076
20861,50097,['ERGA OMNES'],,"['2204 – Wine of fresh grapes, including fortified wines; grape must other than that of heading\xa02009']","['2204219311', '2204219312', '2204219313', '2204219319', '2204219411', '2204219412', '2204219413', '2204219419', '2204219461', '2204219511', '2204219611', '2204219661', '2204219711', '2204219811', '2204219861']",Hectolitre (hl),,"[2021-01-01,2022-01-01)",[],[],Open,23/06/2021,35311,35266.78,0.001252301
20862,50098,['ERGA OMNES'],,['2205 – Vermouth and other wine of fresh grapes flavoured with plants or aromatic substances'],['2205901000'],Hectolitre (hl),,"[2021-01-01,2022-01-01)",[],[],Open,,2,2,0.00E+00
20863,50118,['ERGA OMNES'],,"['0203 – Meat of swine, fresh, chilled or frozen']","['0203195510', '0203295591']",Kilogram (kg),,"[2021-07-01,2022-07-01)",[],[],Open,,1220000,1220000,0.00E+00
20864,50118,['ERGA OMNES'],,"['0203 – Meat of swine, fresh, chilled or frozen']","['0203195510', '0203295591']",Kilogram (kg),,"[2021-01-01,2021-07-01)",[],[],Closed,,1220000,1220000,0.00E+00
20865,50120,['ERGA OMNES'],,"['1601 – Sausages and similar products, of meat, meat offal or blood; food preparations based on these products']","['1601009100', '1601009900']",Kilogram (kg),,"[2021-07-01,2022-07-01)",[],[],Open,16/09/2021,2838000,2713224.01,0.04396617
20866,50120,['ERGA OMNES'],,"['1601 – Sausages and similar products, of meat, meat offal or blood; food preparations based on these products']","['1601009100', '1601009900']",Kilogram (kg),,"[2021-01-01,2021-07-01)",[],[],Closed,10/06/2021,2503389,2232730.45,0.108116857
20867,50123,['ERGA OMNES'],,"['0203 – Meat of swine, fresh, chilled or frozen']","['0203121100', '0203121900', '0203191100', '0203191300', '0203191500', '0203195515', '0203195525', '0203195530', '0203195590', '0203195900', '0203221100', '0203221900', '0203291100', '0203291300', '0203291500', '0203295520', '0203295530', '0203295592', '0203295599', '0203295900']",Kilogram (kg),,"[2021-07-01,2022-07-01)",[],[],Open,30/06/2021,1349000,1349000,0.00E+00
20868,50123,['ERGA OMNES'],,"['0203 – Meat of swine, fresh, chilled or frozen']","['0203121100', '0203121900', '0203191100', '0203191300', '0203191500', '0203195515', '0203195525', '0203195530', '0203195590', '0203195900', '0203221100', '0203221900', '0203291100', '0203291300', '0203291500', '0203295520', '0203295530', '0203295592', '0203295599', '0203295900']",Kilogram (kg),,"[2021-01-01,2021-07-01)",[],[],Exhausted,12/03/2021,2000,0,1
20869,50124,['China'],,"['0714 – Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith']",['0714209000'],Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,20/09/2021,347359000,332764935.8,0.042014355
20870,50126,['Indonesia'],,"['0714 – Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith']","['0714100010', '0714100099', '0714300000', '0714400000', '0714500000', '0714902010', '0714902090']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,25/05/2021,825000000,824976432,2.85673E-05
20871,50127,['China'],,"['0714 – Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith']","['0714100010', '0714100099', '0714300000', '0714400000', '0714500000', '0714902010', '0714902090']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,14/06/2021,74195000,74120000,0.00101085
20872,50128,['Member countries of WTO'],,"['0714 – Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith']","['0714100010', '0714100099', '0714300000', '0714400000', '0714500000', '0714902010', '0714902090']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Critical,21/09/2021,21038000,18364737.93,0.127068261
20873,50130,['Countries not members of the WTO'],,"['0714 – Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith']","['0714100010', '0714300010', '0714400010', '0714500010', '0714902010']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,,309000,309000,0.00E+00
20874,50131,['ERGA OMNES'],,"['0714 – Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith']",['0714209000'],Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Critical,21/06/2021,15000,10367,0.308866667
20875,50132,['ERGA OMNES'],,['1108 – Starches; inulin'],['1108140000'],Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,07/09/2021,1710000,1547025.4,0.095306784
20876,50138,['ERGA OMNES'],,['1003 – Barley'],"['1003100000', '1003900030', '1003900090']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,16/08/2021,293000,286750,0.021331058
21763,50138,['ERGA OMNES'],,['1003 – Barley'],"['1003100000', '1003900030', '1003900090']",Kilogram (kg),,"[2022-01-01,2023-01-01)",[],[],Open,16/08/2021,0,286750,
20877,50144,['ERGA OMNES'],,"['0202 – Meat of bovine animals, frozen', '0206 – Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen']","['0202203081', '0202203082', '0202203083', '0202203084', '0202301081', '0202301082', '0202301083', '0202301084', '0202305081', '0202305082', '0202305083', '0202305084', '0202309041', '0202309042', '0202309043', '0202309044', '0202309070', '0202309075', '0206299133', '0206299135', '0206299137', '0206299138', '0206299151', '0206299159', '0206299161']",Kilogram (kg),,"[2021-07-01,2022-07-01)",[],[],Open,,44027000,44027000,0.00E+00
20878,50144,['ERGA OMNES'],,"['0202 – Meat of bovine animals, frozen', '0206 – Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen']","['0202203081', '0202203082', '0202203083', '0202203084', '0202301081', '0202301082', '0202301083', '0202301084', '0202305081', '0202305082', '0202305083', '0202305084', '0202309041', '0202309042', '0202309043', '0202309044', '0202309070', '0202309075', '0206299133', '0206299135', '0206299137', '0206299138', '0206299151', '0206299159', '0206299161']",Kilogram (kg),,"[2021-01-01,2021-07-01)",[],[],Closed,21/06/2021,43802844,43779889.81,0.000524034
20879,50145,['ERGA OMNES'],,"['0202 – Meat of bovine animals, frozen', '0206 – Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen']","['0202203081', '0202203082', '0202203083', '0202203084', '0202301081', '0202301082', '0202301083', '0202301084', '0202305081', '0202305082', '0202305083', '0202305084', '0202309041', '0202309042', '0202309043', '0202309044', '0202309070', '0202309075', '0206299133', '0206299135', '0206299137', '0206299138', '0206299151', '0206299159', '0206299161']",Kilogram (kg),,"[2021-07-01,2022-07-01)",[],[],Open,,44027000,44027000,0.00E+00
20880,50145,['ERGA OMNES'],,"['0202 – Meat of bovine animals, frozen', '0206 – Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen']","['0202203081', '0202203082', '0202203083', '0202203084', '0202301081', '0202301082', '0202301083', '0202301084', '0202305081', '0202305082', '0202305083', '0202305084', '0202309041', '0202309042', '0202309043', '0202309044', '0202309070', '0202309075', '0206299133', '0206299135', '0206299137', '0206299138', '0206299151', '0206299159', '0206299161']",Kilogram (kg),,"[2021-01-01,2021-07-01)",[],[],Closed,21/06/2021,43802844,43779889.81,0.000524034
21052,50146,"['Liechtenstein', 'Switzerland']",,['0102 – Live bovine animals'],"['0102294100', '0102294900', '0102295100', '0102295900', '0102296100', '0102296900', '0102299100', '0102299900', '0102391010', '0102909110']",Number of items (p/st),,"[2021-01-01,2022-01-01)",[],[],Open,,247,247,0.00E+00
20881,50147,['ERGA OMNES'],,"['0402 – Milk and cream, concentrated or containing added sugar or other sweetening matter']",['0402101900'],Kilogram (kg),,"[2021-01-01,2021-07-01)",[],[],Exhausted,19/02/2021,1000,0,1
21764,50147,['ERGA OMNES'],,"['0402 – Milk and cream, concentrated or containing added sugar or other sweetening matter']",['0402101900'],Kilogram (kg),,"[2021-07-01,2022-07-01)",[],[],Open,,5620000,5620000,0.00E+00
20882,50151,['ERGA OMNES'],,['0406 – Cheese and curd'],['0406900100'],Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,,8266000,8266000,0.00E+00
20883,50154,['ERGA OMNES'],,"[""0407 – Birds' eggs, in shell, fresh, preserved or cooked""]","['0407210000', '0407291000', '0407901000']",Kilogram (kg),,"[2021-07-01,2022-07-01)",[],[],Open,,20331000,20331000,0.00E+00
20884,50154,['ERGA OMNES'],,"[""0407 – Birds' eggs, in shell, fresh, preserved or cooked""]","['0407210000', '0407291000', '0407901000']",Kilogram (kg),,"[2021-01-01,2021-07-01)",[],[],Closed,,20331000,20331000,0.00E+00
20351,50155,['Israel'],,"['0207 – Meat and edible offal, of the poultry of heading\xa00105, fresh, chilled or frozen']","['0207423000', '0207428000', '0207441000', '0207442100', '0207443100', '0207444100', '0207445100', '0207446100', '0207447100', '0207448100', '0207449100', '0207449900', '0207451000', '0207452100', '0207453100', '0207454100', '0207455100', '0207456100', '0207457100', '0207458100', '0207459300', '0207459500', '0207459900', '0207521000', '0207529000', '0207541000', '0207542100', '0207543100', '0207544100', '0207545100', '0207546100', '0207547100', '0207548100', '0207549100', '0207549900', '0207551000', '0207552100', '0207553100', '0207554100', '0207555100', '0207556100', '0207557100', '0207558100', '0207559300', '0207559500', '0207559900']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,,76000,76000,0.00E+00
20885,50156,['ERGA OMNES'],,"['1602 – Other prepared or preserved meat, meat offal or blood']",['1602321100'],Kilogram (kg),,"[2021-07-01,2022-07-01)",[],[],Open,,104000,104000,0.00E+00
20886,50156,['ERGA OMNES'],,"['1602 – Other prepared or preserved meat, meat offal or blood']",['1602321100'],Kilogram (kg),,"[2021-01-01,2021-07-01)",[],[],Closed,,104000,104000,0.00E+00
20887,50157,['ERGA OMNES'],,"['1602 – Other prepared or preserved meat, meat offal or blood']",['1602329000'],Kilogram (kg),,"[2021-07-01,2022-07-01)",[],[],Open,,210000,210000,0.00E+00
20888,50157,['ERGA OMNES'],,"['1602 – Other prepared or preserved meat, meat offal or blood']",['1602329000'],Kilogram (kg),,"[2021-01-01,2021-07-01)",[],[],Closed,,210000,210000,0.00E+00
20889,50158,['ERGA OMNES'],,"['0207 – Meat and edible offal, of the poultry of heading\xa00105, fresh, chilled or frozen']","['0207271000', '0207272000', '0207278000']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Open,,37000,37000,0.00E+00
20643,50202,['Turkey'],,"['0701 – Potatoes, fresh or chilled']",['0701900000'],Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Critical,02/06/2021,417000,322220,0.227290168
20647,50204,['Turkey'],,"['0806 – Grapes, fresh or dried']",['0806101090'],Kilogram (kg),,"[2021-05-01,2021-06-18)",[],[],Closed,,58000,58000,0.00E+00
20648,50204,['Turkey'],,"['0806 – Grapes, fresh or dried']",['0806101090'],Kilogram (kg),,"[2021-08-01,2021-11-15)",[],[],Exhausted,16/08/2021,58000,0,1
20650,50206,['Turkey'],,"['1509 – Olive oil and its fractions, whether or not refined, but not chemically modified']","['1509102000', '1509108000']",Kilogram (kg),,"[2021-01-01,2022-01-01)",[],[],Critical,03/06/2021,17000,9018.37,0.469507647
